03-11-11;430;59.89
04-11-11;431.5;60.35
07-11-11;430;55.92
08-11-11;432.35001;53.89
09-11-11;426;53.57
10-11-11;427;54.42
11-11-11;427.5;53.28
14-11-11;425.64999;51.82
15-11-11;419;45.80
16-11-11;418;39.91
17-11-11;417;34.24
18-11-11;415;23.77
21-11-11;406.5;29.98
22-11-11;402;35.49
23-11-11;399.5;12.99
24-11-11;400;10.82
25-11-11;398.89999;10.93
29-11-11;405.25;19.06
30-11-11;408.60001;28.68
01-12-11;416;38.35
02-12-11;418.29999;40.61
05-12-11;423;47.44
06-12-11;425;56.36
07-12-11;425.64999;58.16
12-12-11;424;57.37
13-12-11;426;61.58
14-12-11;423.25;70.06
15-12-11;421.89999;75.78
16-12-11;424;82.07
19-12-11;424.5;82.07
20-12-11;430;86.50
21-12-11;432.79999;85.28
22-12-11;434.5;84.63
23-12-11;435.39999;81.39
27-12-11;440;82.68
28-12-11;442.60001;81.51
29-12-11;449;83.80
